symbol,name,sector,mcap_cr
NIACL,The New India Assurance Company Ltd.,FIN_SERVICES,9000
RAMCOCEM,The Ramco Cements Ltd.,INFRA,24000
THERMAX,Thermax Ltd.,INFRA,31000
TIMKEN,Timken India Ltd.,INFRA,16000
TITAGARH,Titagarh Rail Systems Ltd.,INFRA,12000
TITAN,Titan Company Ltd.,CONSR_DURBL,315000
TORNTPHARM,Torrent Pharmaceuticals Ltd.,HEALTHCARE,102000
TORNTPOWER,Torrent Power Ltd.,ENERGY,63000
TARIL,Transformers And Rectifiers (India) Ltd.,INFRA,9635
TRAVELFOOD,Travel Food Services Ltd.,SERVICES,15817
TRENT,Trent Ltd.,SERVICES,150712
TRIDENT,Trident Ltd.,,12459
TRITURBINE,Triveni Turbine Ltd.,INFRA,21949
TIINDIA,Tube Investments of India Ltd.,AUTO,58826
UCOBANK,UCO Bank,FIN_SERVICES,31863
UNOMINDA,UNO Minda Ltd.,AUTO,31000
UPL,UPL Ltd.,PHARMA,55366
UTIAMC,UTI Asset Management Company Ltd.,FIN_SERVICES,17000
ULTRACEMCO,UltraTech Cement Ltd.,INFRA,315000
UNIONBANK,Union Bank of India,FIN_SERVICES,102000
UBL,United Breweries Ltd.,FMCG,35528
UNITDSPR,United Spirits Ltd.,FMCG,56000
URBANCO,Urban Company Ltd.,SERVICES,18037
USHAMART,Usha Martin Ltd.,INFRA,14636
VTL,Vardhman Textiles Ltd.,,17318
VBL,Varun Beverages Ltd.,FMCG,192000
VEDL,Vedanta Ltd.,METAL,134677
VIJAYA,Vijaya Diagnostic Centre Ltd.,HEALTHCARE,12961
VMM,Vishal Mega Mart Ltd.,SERVICES,56616
IDEA,Vodafone Idea Ltd.,SERVICES,42000
VOLTAS,Voltas Ltd.,CONSR_DURBL,44000
WAAREEENER,Waaree Energies Ltd.,INFRA,88830
WELCORP,Welspun Corp Ltd.,INFRA,13000
WELSPUNLIV,Welspun Living Ltd.,,13268
WHIRLPOOL,Whirlpool of India Ltd.,CONSR_DURBL,16000
WIPRO,Wipro Ltd.,IT,260000
WOCKPHARMA,Wockhardt Ltd.,HEALTHCARE,27627
YESBANK,Yes Bank Ltd.,FIN_SERVICES,71653
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,AUTO,28231
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA,12000
ZENTEC,Zen Technologies Ltd.,INFRA,14415
ZENSARTECH,Zensar Technolgies Ltd.,IT,13000
ZYDUSLIFE,Zydus Lifesciences Ltd.,HEALTHCARE,82000
ZYDUSWELL,Zydus Wellness Ltd.,FMCG,15305
ECLERX,eClerx Services Ltd.,SERVICES,14606
