symbol,name,sector,mcap_cr
CREDITACC,CreditAccess Grameen Ltd.,FIN_SERVICES,16000
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSR_DURBL,21000
CUMMINSIND,Cummins India Ltd.,INFRA,59000
CYIENT,Cyient Ltd.,IT,14000
DCMSHRIRAM,DCM Shriram Ltd.,,16846
DLF,DLF Ltd.,REALTY,195000
DOMS,DOMS Industries Ltd.,FMCG,13368
DABUR,Dabur India Ltd.,FMCG,89000
DALBHARAT,Dalmia Bharat Ltd.,INFRA,41000
DATAPATTNS,Data Patterns (India) Ltd.,INFRA,22963
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,PHARMA,18307
DEEPAKNTR,Deepak Nitrite Ltd.,PHARMA,30000
DELHIVERY,Delhivery Ltd.,SERVICES,16000
DEVYANI,Devyani International Ltd.,SERVICES,14350
DIVISLAB,Divi's Laboratories Ltd.,HEALTHCARE,130000
DIXON,Dixon Technologies (India) Ltd.,CONSR_DURBL,48000
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE,26783
DRREDDY,Dr. Reddy's Laboratories Ltd.,HEALTHCARE,128000
EIDPARRY,E.I.D. Parry (India) Ltd.,FMCG,13603
EIHOTEL,EIH Ltd.,SERVICES,20005
EICHERMOT,Eicher Motors Ltd.,AUTO,132000
ELECON,Elecon Engineering Co. Ltd.,INFRA,11784
ELGIEQUIP,Elgi Equipments Ltd.,INFRA,15000
EMAMILTD,Emami Ltd.,FMCG,32000
EMCURE,Emcure Pharmaceuticals Ltd.,HEALTHCARE,32202
EMMVEE,Emmvee Photovoltaic Power Ltd.,INFRA,20455
ENDURANCE,Endurance Technologies Ltd.,AUTO,19000
ENGINERSIN,Engineers India Ltd.,INFRA,12955
ERIS,Eris Lifesciences Ltd.,HEALTHCARE,15000
ESCORTS,Escorts Kubota Ltd.,INFRA,28000
ETERNAL,Eternal Ltd.,SERVICES,248000
EXIDEIND,Exide Industries Ltd.,AUTO,29000
NYKAA,FSN E-Commerce Ventures Ltd.,SERVICES,76270
FEDERALBNK,Federal Bank Ltd.,FIN_SERVICES,44000
FACT,Fertilisers and Chemicals Travancore Ltd.,PHARMA,58456
FINCABLES,Finolex Cables Ltd.,INFRA,16612
FSL,Firstsource Solutions Ltd.,SERVICES,19173
FIVESTAR,Five-Star Business Finance Ltd.,FIN_SERVICES,13435
FORCEMOT,Force Motors Ltd.,AUTO,26132
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE,39000
GAIL,GAIL (India) Ltd.,OIL_GAS,129000
GVT&D,GE Vernova T&D India Ltd.,INFRA,124139
GMRAIRPORT,GMR Airports Ltd.,SERVICES,101609
GABRIEL,Gabriel India Ltd.,AUTO,15771
GALLANTT,Gallantt Ispat Ltd.,INFRA,16642
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,INFRA,12000
GICRE,General Insurance Corporation of India,FIN_SERVICES,37000
GILLETTE,Gillette India Ltd.,FMCG,25000
GLAND,Gland Pharma Ltd.,HEALTHCARE,38024
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,HEALTHCARE,23000
GLENMARK,Glenmark Pharmaceuticals Ltd.,HEALTHCARE,26000
MEDANTA,Global Health Ltd.,HEALTHCARE,33020
GODIGIT,Go Digit General Insurance Ltd.,FIN_SERVICES,28255
GPIL,Godawari Power & Ispat Ltd.,INFRA,18557
GODFRYPHLP,Godfrey Phillips India Ltd.,FMCG,35851
GODREJCP,Godrej Consumer Products Ltd.,FMCG,102000
GODREJIND,Godrej Industries Ltd.,,38411
GODREJPROP,Godrej Properties Ltd.,REALTY,77000
GRANULES,Granules India Ltd.,HEALTHCARE,12000
GRAPHITE,Graphite India Ltd.,INFRA,14769
GRASIM,Grasim Industries Ltd.,INFRA,165000
GRAVITA,Gravita India Ltd.,METAL,8200
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES,14000
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,PHARMA,41569
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METAL,22042
HEG,H.E.G. Ltd.,INFRA,11332
HBLENGINE,HBL Engineering Ltd.,INFRA,9500
HCLTECH,HCL Technologies Ltd.,IT,460000
HDBFS,HDB Financial Services Ltd.,FIN_SERVICES,56308
HDFCAMC,HDFC Asset Management Company Ltd.,FIN_SERVICES,108000
HDFCBANK,HDFC Bank Ltd.,FIN_SERVICES,1240000
HDFCLIFE,HDFC Life Insurance Company Ltd.,FIN_SERVICES,148000
HFCL,HFCL Ltd.,SERVICES,13000
HAVELLS,Havells India Ltd.,CONSR_DURBL,106000
HEROMOTOCO,Hero MotoCorp Ltd.,AUTO,87000
HEXT,Hexaware Technologies Ltd.,IT,30954
HSCL,Himadri Speciality Chemical Ltd.,PHARMA,30595
HINDALCO,Hindalco Industries Ltd.,METAL,155000
HAL,Hindustan Aeronautics Ltd.,INFRA,296114
HINDCOPPER,Hindustan Copper Ltd.,METAL,20000
HINDPETRO,Hindustan Petroleum Corporation Ltd.,OIL_GAS,72000
HINDUNILVR,Hindustan Unilever Ltd.,FMCG,580000
HINDZINC,Hindustan Zinc Ltd.,METAL,195000
POWERINDIA,Hitachi Energy India Ltd.,INFRA,160438
HOMEFIRST,Home First Finance Company India Ltd.,FIN_SERVICES,11354
HONASA,Honasa Consumer Ltd.,FMCG,12889
HONAUT,Honeywell Automation India Ltd.,INFRA,42000
HUDCO,Housing & Urban Development Corporation Ltd.,FIN_SERVICES,41367
HYUNDAI,Hyundai Motor India Ltd.,AUTO,153083
ICICIBANK,ICICI Bank Ltd.,FIN_SERVICES,880000
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FIN_SERVICES,92000
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,FIN_SERVICES,166101
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FIN_SERVICES,97000
IDBI,IDBI Bank Ltd.,FIN_SERVICES,78428
IDFCFIRSTB,IDFC First Bank Ltd.,FIN_SERVICES,45000
IFCI,IFCI Ltd.,FIN_SERVICES,17351
IIFL,IIFL Finance Ltd.,FIN_SERVICES,20196
IRB,IRB Infrastructure Developers Ltd.,INFRA,20000
